"funs","pkgs","relative_paths","absolute_paths"
"library","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"library","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"library","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"library","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"font_add_google","sysfonts","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"font_add_google","sysfonts","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"showtext_auto","showtext","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"read_csv","readr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"read_csv","readr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"pivot_longer","tidyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"pivot_longer","tidyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"full_join","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"mutate","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"drop_na","tidyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"group_by","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"slice_max","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"map_data","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"sort","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"unique","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"sort","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"unique","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"mutate","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"recode","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"ungroup","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"left_join","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"filter","dplyr","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"gg_record","camcorder","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"file.path","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"ggplot","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"aes","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"log10","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"geom_map","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"scale_y_continuous","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"scale_fill_gradientn","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"met.brewer","MetBrewer","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"facet_wrap","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"labs","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"str_wrap_break","(unknown)","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"guides","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"guide_colourbar","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"theme_void","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"theme","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"element_rect","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"element_rect","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"element_text","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"margin","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"element_rect","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"element_text","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"element_text","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"element_text","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"unit","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"unit","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"c","base","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"element_blank","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"margin","ggplot","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
"gg_playback","camcorder","2023/2023-01-03/20230103.R","https://raw.githubusercontent.com/nrennie/tidytuesday/main/2023/2023-01-03/20230103.R"
